bank,item,kind,department,city,built_m2,land_m2,asking_base_gross_usd,asking_base_net_usd,price_check,first_seen,lat,lon
solar,21,terreno,San Pedro,Santa Rosa del Aguaray,,378,10123,9203,0,2026-09-08,,
basa,0b9ed33f28d93eda-3,terreno,Central,Itá,,395,10123,9203,0,2026-09-08,,
bnf,1266-L8-M144,casa,Misiones,,30,470,11645,10586,0,2026-09-08,-26.88302,-57.01131
bnf,1286-L3-M513,terreno,Misiones,San Ignacio,,830,13529,12299,0,2026-09-08,-26.88281,-57.00902
bnf,1276,rural,Guairá,Coronel Martínez,,41247,14899,13544,0,2026-09-08,-25.74526,-56.59711
caja_bancaria,00-2386-08,terreno,Central,Capiatá,,,15002,13638,0,2026-09-08,,
bnf,1286-L9-M513,casa,Misiones,San Ignacio,174,638,15327,13934,0,2026-09-08,-26.88272,-57.00885
bnf,"1309-L1-M""N""",terreno,Itapúa,Cambyretá,,364,16269,14790,0,2026-09-08,-27.35828,-55.81466
bnf,"1309-L2-M""N""",terreno,Itapúa,,,365,16355,14868,0,2026-09-08,-27.35853,-55.81412
caja_bancaria,00-2217-00,casa,Central,Capiatá,,,16872,15338,0,2026-09-08,,
caja_bancaria,27-2440-12,casa,Central,San Lorenzo,,,17210,15645,0,2026-09-08,,
caja_bancaria,00-6040-00,terreno,Alto Paraná,Ciudad del Este,,,17210,15645,0,2026-09-08,,
bnf,"1309-L3-M""N""",terreno,Itapúa,,,384,17211,15646,0,2026-09-08,-27.35826,-55.81466
bnf,"1309-L4-M""N""",terreno,Itapúa,,,384,17211,15646,0,2026-09-08,-27.35852,-55.81412
caja_bancaria,18-0190-03,casa,San Pedro,Villa del Rosario,,,17294,15722,0,2026-09-08,,
bnf,1307-L18-M7,casa,Central,Itá,104,360,17296,15724,0,2026-09-08,-25.50621,-57.37423
bnf,1357-L15-MIX,unknown,Caaguazú,Dr. Juan Eulogio Estigarribia,,600,17639,16035,0,2026-09-10,-25.36639,-55.69767
bnf,502-L6-MA,terreno,Itapúa,Encarnación,,523,18324,16658,0,2026-09-08,-27.31455,-55.82059
gnb,F356,casa,San Pedro,Liberación,,880,21428,19480,0,2026-09-08,,
bnf,1357-L16-MIX,casa,Caaguazú,Dr. Juan Eulogio Estigarribia,25,600,21920,19927,0,2026-09-10,-25.36628,-55.69765
caja_bancaria,00-3704-00,casa,Cordillera,Eusebio Ayala,,,22271,20246,0,2026-09-08,,
caja_bancaria,19-0217-04,terreno,Cordillera,Caacupé,,,23115,21013,0,2026-09-08,,
caja_bancaria,02-6650-00,casa,Central,Capiatá,,,25308,23007,0,2026-09-08,,
solar,12,terreno,Canindeyú,Saltos del Guairá,,480,25308,23007,0,2026-09-08,,
basa,49c581f11f42bfac,casa,San Pedro,San Pedro del Ycuamandyyú,,360,25308,23007,0,2026-09-08,,
bnf,159-3,terreno,Paraguarí,Carapeguá,,2230,25345,23041,0,2026-09-08,-25.76797,-57.25526
caja_bancaria,27-0056-33,casa,Central,San Antonio,,,25646,23314,0,2026-09-08,,
basa,e83ef4fc678fb76a,oficina,Asunción,Asunción,45,,26995,24541,0,2026-09-08,,
caja_bancaria,13-0901-07,casa,Central,Lambaré,,,27501,25001,0,2026-09-08,,
bnf,1337,rural,Guairá,Mauricio José Troche,,50000,28257,25688,0,2026-09-08,-25.62472,-56.10239
gnb,G646,terreno,Itapúa,Bella Vista Sur,,603,30510,27737,0,2026-09-08,,
bnf,1288-LFracción 1-M0,terreno,Itapúa,Cambyretá,,2385,31682,28801,0,2026-09-08,-27.35773,-55.77695
bnf,159-1,rural,Paraguarí,Carapeguá,,2840,32195,29268,0,2026-09-08,-25.76707,-57.25442
caja_bancaria,26-2546-08,casa,Alto Paraná,Ciudad del Este,,,32461,29510,0,2026-09-08,,
bnf,1349-L8-MJ,terreno,Itapúa,Encarnación,,362,32538,29580,0,2026-09-08,-27.30451,-55.86574
bancop,MAT-L05/4909-PAD-5798,unknown,Central,Itá,,3241,32901,29910,0,2026-09-08,,
bnf,1187-L8 y 9-MA,terreno,Canindeyú,Salgo del Guairá,,360,33565,30514,0,2026-09-08,-24.09041,-54.3305
caja_bancaria,27-0021-24,casa,Central,Ypacaraí,,,34082,30983,0,2026-09-08,,
bnf,737-L0-M0,rural,San Pedro,General Elizardo Aquino,80,77321,34250,31137,0,2026-09-08,-24.38071,-56.66206
itau,6c0cbae107daf412,casa,Central,Luque,,207,34419,31290,0,2026-09-11,,
bnf,1345-MFracción D-1 Zona III,rural,Itapúa,Fram,,11308,34730,31573,0,2026-09-08,-27.00646,-56.03405
bnf,1362-L11,rural,Alto Paraná,Juan León Mallorquín,68,30030,34976,31796,0,2026-09-22,,
bnf,111,rural,Caaguazú,Repatriación,,100000,36477,33161,0,2026-09-08,-25.60882,-55.9179
gnb,G561,terreno,Central,Ñemby,,451,36562,33238,0,2026-09-08,,
bnf,1326-L0-M0,casa,Ñeembucú,Pilar,150,410,37162,33783,0,2026-09-08,-26.87026,-58.3035
bnf,453-L3-M23,rural,Concepción,Horqueta,,160370,37333,33939,0,2026-09-08,-23.41161,-57.14104
bnf,1065,terreno,Caaguazú,3 de febrero,,625,37461,34056,0,2026-09-08,-25.24528,-55.77713
bnf,1259-L2-MA,casa,Central,San Lorenzo,107,457,38446,34951,0,2026-09-08,-25.33178,-57.49306
caja_bancaria,26-4237-01,casa,Alto Paraná,Ciudad del Este,,,41364,37603,0,2026-09-08,,
bnf,453-L5-M23,rural,Concepción,Horqueta,,186000,41528,37753,0,2026-09-08,-23.41161,-57.14104
bnf,1343-L3-M1C,unknown,Canindeyú,Saltos de Guairá hoy KATUETE,,600,41785,37987,0,2026-09-08,-24.25031,-54.76781
bnf,1255-L5-MV,rural,Alto Paraná,Itakyry,,100000,41957,38142,0,2026-09-08,-24.71837,-55.23612
caja_bancaria,23-0252-09,casa,Itapúa,Coronel Bogado,,,42146,38315,0,2026-09-08,,
bnf,1342-L0-M0,terreno,Cordillera,Itacurubi de la Cordillera,,1967,42470,38609,0,2026-09-08,-25.46471,-56.86049
basa,3b56a3e76aeb6756,terreno,Amambay,Pedro Juan Caballero,,360,42518,38652,0,2026-09-08,,
